MiniBooNE nu mode flux
Based on april07_baseline_rgen610.6_flux.root
Elo: Lower bin edge in GeV
Ehi: Upper bin edge in GeV
numu flux    (numu/cm^2/proton-on-target/50 MeV)
numubar flux (numubar/cm^2/proton-on-target/50 MeV)
nue flux     (nue/cm^2/proton-on-target/50 MeV)
nuebar flux  (nuebar/cm^2/proton-on-target/50 MeV)
  Elo   Ehi       numu      numub        nue       nueb
 0.00  0.05  2.272e-12  2.560e-12  1.530e-14  5.047e-15
 0.05  0.10  8.566e-12  5.671e-12  5.722e-14  1.156e-14
 0.10  0.15  1.112e-11  3.300e-12  1.273e-13  1.705e-14
 0.15  0.20  1.335e-11  2.028e-12  1.231e-13  1.529e-14
 0.20  0.25  1.658e-11  1.623e-12  1.042e-13  1.002e-14
 0.25  0.30  1.820e-11  1.395e-12  1.078e-13  1.039e-14
 0.30  0.35  1.946e-11  1.301e-12  1.093e-13  9.661e-15
 0.35  0.40  2.045e-11  1.249e-12  1.086e-13  9.990e-15
 0.40  0.45  2.161e-11  1.171e-12  1.061e-13  9.711e-15
 0.45  0.50  2.241e-11  1.054e-12  1.034e-13  9.380e-15
 0.50  0.55  2.279e-11  9.580e-13  1.001e-13  9.049e-15
 0.55  0.60  2.292e-11  8.695e-13  9.654e-14  9.298e-15
 0.60  0.65  2.275e-11  8.098e-13  9.198e-14  8.340e-15
 0.65  0.70  2.253e-11  7.434e-13  8.800e-14  8.007e-15
 0.70  0.75  2.214e-11  6.910e-13  8.467e-14  7.769e-15
 0.75  0.80  2.156e-11  6.314e-13  8.008e-14  7.364e-15
 0.80  0.85  2.078e-11  5.905e-13  7.740e-14  6.980e-15
 0.85  0.90  1.992e-11  5.504e-13  7.390e-14  6.944e-15
 0.90  0.95  1.894e-11  5.079e-13  6.924e-14  6.564e-15
 0.95  1.00  1.789e-11  4.708e-13  6.618e-14  5.783e-15
 1.00  1.05  1.677e-11  4.347e-13  6.239e-14  6.041e-15
 1.05  1.10  1.558e-11  4.021e-13  6.037e-14  5.471e-15
 1.10  1.15  1.439e-11  3.703e-13  5.633e-14  5.113e-15
 1.15  1.20  1.318e-11  3.443e-13  5.446e-14  5.054e-15
 1.20  1.25  1.193e-11  3.173e-13  5.014e-14  4.918e-15
 1.25  1.30  1.069e-11  2.872e-13  4.838e-14  4.902e-15
 1.30  1.35  9.503e-12  2.597e-13  4.520e-14  4.552e-15
 1.35  1.40  8.356e-12  2.337e-13  4.350e-14  4.400e-15
 1.40  1.45  7.278e-12  2.101e-13  4.028e-14  4.388e-15
 1.45  1.50  6.292e-12  1.903e-13  3.933e-14  3.939e-15
 1.50  1.55  5.396e-12  1.718e-13  3.696e-14  3.598e-15
 1.55  1.60  4.601e-12  1.507e-13  3.455e-14  3.530e-15
 1.60  1.65  3.902e-12  1.341e-13  3.285e-14  3.588e-15
 1.65  1.70  3.285e-12  1.173e-13  3.059e-14  3.289e-15
 1.70  1.75  2.760e-12  1.053e-13  2.885e-14  3.112e-15
 1.75  1.80  2.312e-12  9.241e-14  2.803e-14  2.919e-15
 1.80  1.85  1.932e-12  8.188e-14  2.574e-14  2.733e-15
 1.85  1.90  1.616e-12  7.115e-14  2.431e-14  2.850e-15
 1.90  1.95  1.355e-12  6.349e-14  2.298e-14  2.564e-15
 1.95  2.00  1.138e-12  5.547e-14  2.165e-14  2.514e-15
 2.00  2.05  9.589e-13  4.799e-14  2.042e-14  2.387e-15
 2.05  2.10  8.150e-13  4.071e-14  1.867e-14  2.242e-15
 2.10  2.15  6.928e-13  3.592e-14  1.763e-14  2.093e-15
 2.15  2.20  5.937e-13  3.082e-14  1.656e-14  2.027e-15
 2.20  2.25  5.147e-13  2.638e-14  1.545e-14  1.812e-15
 2.25  2.30  4.478e-13  2.248e-14  1.485e-14  1.724e-15
 2.30  2.35  3.935e-13  1.878e-14  1.361e-14  1.665e-15
 2.35  2.40  3.500e-13  1.623e-14  1.281e-14  1.532e-15
 2.40  2.45  3.150e-13  1.391e-14  1.190e-14  1.470e-15
 2.45  2.50  2.867e-13  1.162e-14  1.130e-14  1.394e-15
 2.50  2.55  2.615e-13  1.010e-14  1.043e-14  1.305e-15
 2.55  2.60  2.409e-13  8.691e-15  9.800e-15  1.279e-15
 2.60  2.65  2.273e-13  7.382e-15  8.832e-15  1.140e-15
 2.65  2.70  2.110e-13  5.999e-15  8.607e-15  1.042e-15
 2.70  2.75  1.995e-13  5.004e-15  7.727e-15  9.795e-16
 2.75  2.80  1.920e-13  4.204e-15  7.285e-15  9.706e-16
 2.80  2.85  1.815e-13  3.571e-15  6.793e-15  8.481e-16
 2.85  2.90  1.726e-13  3.047e-15  6.371e-15  8.082e-16
 2.90  2.95  1.665e-13  2.597e-15  5.772e-15  7.190e-16
 2.95  3.00  1.601e-13  2.138e-15  5.490e-15  6.964e-16
 3.00  3.05  1.554e-13  1.956e-15  4.989e-15  6.877e-16
 3.05  3.10  1.493e-13  1.584e-15  4.656e-15  6.044e-16
 3.10  3.15  1.442e-13  1.227e-15  4.211e-15  5.312e-16
 3.15  3.20  1.412e-13  1.021e-15  4.071e-15  5.064e-16
 3.20  3.25  1.363e-13  8.356e-16  3.819e-15  4.558e-16
 3.25  3.30  1.323e-13  7.777e-16  3.496e-15  4.458e-16
 3.30  3.35  1.265e-13  6.812e-16  3.165e-15  3.910e-16
 3.35  3.40  1.217e-13  7.386e-16  2.922e-15  3.674e-16
 3.40  3.45  1.183e-13  6.128e-16  2.624e-15  3.457e-16
 3.45  3.50  1.140e-13  6.251e-16  2.489e-15  3.385e-16
 3.50  3.55  1.102e-13  5.519e-16  2.276e-15  2.937e-16
 3.55  3.60  1.060e-13  3.936e-16  2.078e-15  2.900e-16
 3.60  3.65  1.014e-13  4.141e-16  1.887e-15  2.523e-16
 3.65  3.70  9.700e-14  3.395e-16  1.716e-15  2.363e-16
 3.70  3.75  9.340e-14  3.002e-16  1.603e-15  2.107e-16
 3.75  3.80  9.001e-14  2.502e-16  1.448e-15  1.936e-16
 3.80  3.85  8.641e-14  2.273e-16  1.338e-15  1.801e-16
 3.85  3.90  8.190e-14  2.299e-16  1.215e-15  1.561e-16
 3.90  3.95  7.867e-14  1.429e-16  1.171e-15  1.465e-16
 3.95  4.00  7.464e-14  1.574e-16  9.923e-16  1.371e-16
 4.00  4.05  7.146e-14  1.218e-16  9.308e-16  1.249e-16
 4.05  4.10  6.812e-14  1.280e-16  8.357e-16  1.148e-16
 4.10  4.15  6.499e-14  1.612e-16  7.638e-16  1.079e-16
 4.15  4.20  6.185e-14  8.604e-17  6.755e-16  9.442e-17
 4.20  4.25  5.858e-14  9.270e-17  6.545e-16  8.323e-17
 4.25  4.30  5.614e-14  5.371e-17  5.973e-16  7.855e-17
 4.30  4.35  5.320e-14  5.495e-17  5.257e-16  6.963e-17
 4.35  4.40  5.016e-14  4.276e-17  4.645e-16  6.551e-17
 4.40  4.45  4.765e-14  3.693e-17  4.304e-16  5.711e-17
 4.45  4.50  4.561e-14  6.592e-17  3.828e-16  4.896e-17
 4.50  4.55  4.281e-14  6.261e-17  3.410e-16  4.631e-17
 4.55  4.60  4.087e-14  2.266e-17  3.141e-16  4.348e-17
 4.60  4.65  3.841e-14  3.924e-17  2.881e-16  3.697e-17
 4.65  4.70  3.632e-14  5.036e-17  2.498e-16  3.522e-17
 4.70  4.75  3.432e-14  3.051e-17  2.223e-16  3.216e-17
 4.75  4.80  3.263e-14  7.985e-17  2.055e-16  2.985e-17
 4.80  4.85  3.016e-14  1.630e-16  1.819e-16  2.577e-17
 4.85  4.90  2.857e-14  1.787e-16  1.592e-16  2.299e-17
 4.90  4.95  2.689e-14  5.729e-17  1.407e-16  2.077e-17
 4.95  5.00  2.529e-14  6.383e-18  1.242e-16  1.950e-17
 5.00  5.05  2.372e-14  5.257e-18  1.142e-16  1.843e-17
 5.05  5.10  2.227e-14  5.222e-18  1.028e-16  1.332e-17
 5.10  5.15  2.103e-14  4.369e-18  8.425e-17  1.044e-17
 5.15  5.20  1.957e-14  3.186e-18  7.409e-17  9.753e-18
 5.20  5.25  1.834e-14  3.915e-18  6.574e-17  8.689e-18
 5.25  5.30  1.730e-14  2.197e-18  5.592e-17  8.865e-18
 5.30  5.35  1.615e-14  1.690e-18  4.790e-17  7.198e-18
 5.35  5.40  1.513e-14  1.177e-18  4.200e-17  6.320e-18
 5.40  5.45  1.406e-14  9.963e-19  3.153e-17  5.182e-18
 5.45  5.50  1.303e-14  9.197e-19  2.980e-17  3.874e-18
 5.50  5.55  1.214e-14  6.790e-19  2.362e-17  3.370e-18
 5.55  5.60  1.129e-14  5.695e-19  2.218e-17  3.068e-18
 5.60  5.65  1.047e-14  5.234e-19  1.834e-17  2.157e-18
 5.65  5.70  9.569e-15  3.209e-19  1.757e-17  2.255e-18
 5.70  5.75  8.870e-15  2.809e-19  1.367e-17  1.785e-18
 5.75  5.80  8.148e-15  2.700e-19  1.136e-17  1.269e-18
 5.80  5.85  7.429e-15  1.624e-19  9.188e-18  1.316e-18
 5.85  5.90  6.765e-15  1.383e-19  7.469e-18  8.751e-19
 5.90  5.95  6.097e-15  1.192e-19  6.502e-18  8.883e-19
 5.95  6.00  5.492e-15  9.024e-20  5.513e-18  6.479e-19
 6.00  6.05  4.977e-15  9.442e-20  4.571e-18  5.714e-19
 6.05  6.10  4.445e-15  5.076e-20  4.365e-18  6.861e-19
